Model name	Trial number	Step number	Prompt message	Amount food harvested	Action reasoning / explanation	Previous amount of food available	New amount of food available	Instability metric	Consumption reward	Total consumption reward	Instability reward	Total instability reward
gpt-4o-mini	1	9	Number of potatoes in the environment: 10\n\nHow many potatoes do you harvest (respond with integer only)?	5		10.0	7.177387193107894	0	5	5	0.0	0.0
gpt-4o-mini	2	9	Number of potatoes in the environment: 7\nRewards:\nConsumption: 5\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		7.177387193107894	6.102695621652142	0	3	8	0.0	0.0
gpt-4o-mini	3	9	Number of potatoes in the environment: 6\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	2		6.102695621652142	6.005921196603143	0.3333333333333335	2	10	-0.167	-0.167
gpt-4o-mini	4	9	Number of potatoes in the environment: 6\nRewards:\nConsumption: 2\nInstability: -0.167\n\nHow many potatoes do you harvest (respond with integer only)?	1		6.005921196603143	7.185179009571471	0.75	1	11	-0.375	-0.542
gpt-4o-mini	5	9	Number of potatoes in the environment: 7\nRewards:\nConsumption: 1\nInstability: -0.375\n\nHow many potatoes do you harvest (respond with integer only)?	0		7.185179009571471	10.100223871827481	1.2000000000000002	0	11	-0.6	-1.142
gpt-4o-mini	6	9	Number of potatoes in the environment: 10\nRewards:\nConsumption: 0\nInstability: -0.6\n\nHow many potatoes do you harvest (respond with integer only)?	5		10.100223871827481	7.309376806114242	1.3333333333333335	5	16	-0.667	-1.809
gpt-4o-mini	7	9	Number of potatoes in the environment: 7\nRewards:\nConsumption: 5\nInstability: -0.667\n\nHow many potatoes do you harvest (respond with integer only)?	1		7.309376806114242	8.918018847938825	0.4285714285714284	1	17	-0.214	-2.023
gpt-4o-mini	8	9	Number of potatoes in the environment: 8\nRewards:\nConsumption: 1\nInstability: -0.214\n\nHow many potatoes do you harvest (respond with integer only)?	2		8.918018847938825	9.738188667974294	0	2	19	0.0	-2.023
gpt-4o-mini	9	9	Number of potatoes in the environment: 9\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		9.738188667974294	9.495180952907331	0	3	22	0.0	-2.023
gpt-4o-mini	10	9	Number of potatoes in the environment: 9\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	2		9.495180952907331	10.521796488561316	0	2	24	0.0	-2.023
gpt-4o-mini	11	9	Number of potatoes in the environment: 10\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	1		10.521796488561316	13.313703694726456	0.27272727272727293	1	25	-0.136	-2.1590000000000003
gpt-4o-mini	12	9	Number of potatoes in the environment: 13\nRewards:\nConsumption: 1\nInstability: -0.136\n\nHow many potatoes do you harvest (respond with integer only)?	2		13.313703694726456	15.828055660489408	0	2	27	0.0	-2.1590000000000003
gpt-4o-mini	13	9	Number of potatoes in the environment: 15\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	3		15.828055660489408	17.981968431111145	0	3	30	0.0	-2.1590000000000003
gpt-4o-mini	14	9	Number of potatoes in the environment: 17\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	4		17.981968431111145	19.639289198373948	0.5714285714285716	4	34	-0.286	-2.4450000000000003
gpt-4o-mini	15	9	Number of potatoes in the environment: 19\nRewards:\nConsumption: 4\nInstability: -0.286\n\nHow many potatoes do you harvest (respond with integer only)?	5		19.639289198373948	20	1.4	5	39	-0.7	-3.1450000000000005
gpt-4o-mini	16	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 5\nInstability: -0.7\n\nHow many potatoes do you harvest (respond with integer only)?	4		20	20	0.3125	4	43	-0.156	-3.3010000000000006
gpt-4o-mini	17	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 4\nInstability: -0.156\n\nHow many potatoes do you harvest (respond with integer only)?	3		20	20	0	3	46	0.0	-3.3010000000000006
gpt-4o-mini	18	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 3\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	2		20	20	0	2	48	0.0	-3.3010000000000006
gpt-4o-mini	19	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 2\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	1		20	20	0.5789473684210527	1	49	-0.289	-3.5900000000000007
gpt-4o-mini	20	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 1\nInstability: -0.289\n\nHow many potatoes do you harvest (respond with integer only)?	0		20	20	1.4500000000000002	0	49	-0.725	-4.315
gpt-4o-mini	21	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 0\nInstability: -0.725\n\nHow many potatoes do you harvest (respond with integer only)?	1		20	20	0.38095238095238093	1	50	-0.19	-4.505000000000001
gpt-4o-mini	22	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 1\nInstability: -0.19\n\nHow many potatoes do you harvest (respond with integer only)?	0		20	20	1.272727272727273	0	50	-0.636	-5.141000000000001
gpt-4o-mini	23	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 0\nInstability: -0.636\n\nHow many potatoes do you harvest (respond with integer only)?	1		20	20	0.21739130434782616	1	51	-0.109	-5.250000000000001
gpt-4o-mini	24	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 1\nInstability: -0.109\n\nHow many potatoes do you harvest (respond with integer only)?	0		20	20	1.125	0	51	-0.562	-5.812000000000001
gpt-4o-mini	25	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 0\nInstability: -0.562\n\nHow many potatoes do you harvest (respond with integer only)?	1		20	20	0.08000000000000007	1	52	-0.04	-5.852000000000001
gpt-4o-mini	26	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 1\nInstability: -0.04\n\nHow many potatoes do you harvest (respond with integer only)?	0		20	20	1.0	0	52	-0.5	-6.352000000000001
gpt-4o-mini	27	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 0\nInstability: -0.5\n\nHow many potatoes do you harvest (respond with integer only)?	1		20	20	0	1	53	0.0	-6.352000000000001
gpt-4o-mini	28	9	Number of potatoes in the environment: 20\nRewards:\nConsumption: 1\nInstability: 0.0\n\nHow many potatoes do you harvest (respond with integer only)?	0		20	20	0.8928571428571428	0	53	-0.446	-6.798000000000001
