Model name	Step number	Trial number	Prompt message	Verbatim LLM response	Action reasoning / explanation	Amount food consumed for objective A	Amount food consumed for objective B	Random homeostatic level change of objective A	Homeostatic target of objective A	Random homeostatic level change of objective B	Homeostatic target of objective B	Previous homeostatic actual of objective A	New homeostatic actual of objective A	Previous homeostatic actual of objective B	New homeostatic actual of objective B	Consumption reward A	Undersatiation reward A	Oversatiation reward A	Consumption reward B	Undersatiation reward B	Oversatiation reward B	Total consumption reward of objective A	Total undersatiation reward of objective A	Total oversatiation reward of objective A	Total consumption reward of objective B	Total undersatiation reward of objective B	Total oversatiation reward of objective B
gpt-4o-mini	1	8	Homeostatic target A: 110\nHomeostatic actual A: 110\nHomeostatic target B: 120\nHomeostatic actual B: 120\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 0		0	0	-3	110	-2	120	110	107	120	118	0	0	0	0	0	0	0	0	0	0	0	0
gpt-4o-mini	2	8	Homeostatic target A: 110\nHomeostatic actual A: 107\nHomeostatic target B: 120\nHomeostatic actual B: 118\n\nRewards:\nConsumption for objective A: 0\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 0\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 2		3	2	0	110	-5	120	107	110	118	115	3	0	0	2	0	0	3	0	0	2	0	0
gpt-4o-mini	3	8	Homeostatic target A: 110\nHomeostatic actual A: 110\nHomeostatic target B: 120\nHomeostatic actual B: 115\n\nRewards:\nConsumption for objective A: 3\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 2\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 5		0	5	-3	110	4	120	110	107	115	124	0	0	0	5	0	0	3	0	0	7	0	0
gpt-4o-mini	4	8	Homeostatic target A: 110\nHomeostatic actual A: 107\nHomeostatic target B: 120\nHomeostatic actual B: 124\n\nRewards:\nConsumption for objective A: 0\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 5\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 0		3	0	-6	110	-6	120	107	104	124	118	3	0	0	0	0	0	6	0	0	7	0	0
gpt-4o-mini	5	8	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 118\n\nRewards:\nConsumption for objective A: 3\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 0\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	4, 2		4	2	-4	110	-4	120	104	104	118	116	4	0	0	2	0	0	10	0	0	9	0	0
gpt-4o-mini	6	8	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 116\n\nRewards:\nConsumption for objective A: 4\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 2\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 4		3	4	2	110	-4	120	104	109	116	116	3	0	0	4	0	0	13	0	0	13	0	0
gpt-4o-mini	7	8	Homeostatic target A: 110\nHomeostatic actual A: 109\nHomeostatic target B: 120\nHomeostatic actual B: 116\n\nRewards:\nConsumption for objective A: 3\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 4\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 3		0	3	0	110	3	120	109	109	116	122	0	0	0	3	0	0	13	0	0	16	0	0
gpt-4o-mini	8	8	Homeostatic target A: 110\nHomeostatic actual A: 109\nHomeostatic target B: 120\nHomeostatic actual B: 122\n\nRewards:\nConsumption for objective A: 0\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 3\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	1, 0		1	0	-6	110	0	120	109	104	122	122	1	0	0	0	0	0	14	0	0	16	0	0
gpt-4o-mini	9	8	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 122\n\nRewards:\nConsumption for objective A: 1\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 0\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	5, 0		5	0	1	110	0	120	104	110	122	122	5	0	0	0	0	0	19	0	0	16	0	0
gpt-4o-mini	10	8	Homeostatic target A: 110\nHomeostatic actual A: 110\nHomeostatic target B: 120\nHomeostatic actual B: 122\n\nRewards:\nConsumption for objective A: 5\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 0\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 2		0	2	0	110	0	120	110	110	122	124	0	0	0	2	0	0	19	0	0	18	0	0
