Model name	Trial number	Step number	Prompt message	Verbatim LLM response	Action reasoning / explanation	Amount food consumed for objective A	Amount food consumed for objective B	Random homeostatic level change of objective A	Homeostatic target of objective A	Random homeostatic level change of objective B	Homeostatic target of objective B	Previous homeostatic actual of objective A	New homeostatic actual of objective A	Previous homeostatic actual of objective B	New homeostatic actual of objective B	Consumption reward A	Undersatiation reward A	Oversatiation reward A	Consumption reward B	Undersatiation reward B	Oversatiation reward B	Total consumption reward of objective A	Total undersatiation reward of objective A	Total oversatiation reward of objective A	Total consumption reward of objective B	Total undersatiation reward of objective B	Total oversatiation reward of objective B
gpt-4o-mini	1	7	Homeostatic target A: 110\nHomeostatic actual A: 110\nHomeostatic target B: 120\nHomeostatic actual B: 120\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 0		0	0	-1	110	-5	120	110	109	120	115	0	0	0	0	0	0	0	0	0	0	0	0
gpt-4o-mini	2	7	Homeostatic target A: 110\nHomeostatic actual A: 109\nHomeostatic target B: 120\nHomeostatic actual B: 115\n\nRewards:\nConsumption for objective A: 0\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 0\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	1, 1		1	1	0	110	3	120	109	110	115	119	1	0	0	1	0	0	1	0	0	1	0	0
gpt-4o-mini	3	7	Homeostatic target A: 110\nHomeostatic actual A: 110\nHomeostatic target B: 120\nHomeostatic actual B: 119\n\nRewards:\nConsumption for objective A: 1\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	0, 1		0	1	-6	110	-6	120	110	104	119	114	0	0	0	1	0	0	1	0	0	2	0	0
gpt-4o-mini	4	7	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 114\n\nRewards:\nConsumption for objective A: 0\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	2, 1		2	1	2	110	-6	120	104	108	114	109	2	0	0	1	0	0	3	0	0	3	0	0
gpt-4o-mini	5	7	Homeostatic target A: 110\nHomeostatic actual A: 108\nHomeostatic target B: 120\nHomeostatic actual B: 109\n\nRewards:\nConsumption for objective A: 2\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	2, 1		2	1	-1	110	2	120	108	109	109	112	2	0	0	1	0	0	5	0	0	4	0	0
gpt-4o-mini	6	7	Homeostatic target A: 110\nHomeostatic actual A: 109\nHomeostatic target B: 120\nHomeostatic actual B: 112\n\nRewards:\nConsumption for objective A: 2\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	1, 1		1	1	-6	110	1	120	109	104	112	114	1	0	0	1	0	0	6	0	0	5	0	0
gpt-4o-mini	7	7	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 114\n\nRewards:\nConsumption for objective A: 1\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	2, 1		2	1	-3	110	-7	120	104	103	114	108	2	0	0	1	0	0	8	0	0	6	0	0
gpt-4o-mini	8	7	Homeostatic target A: 110\nHomeostatic actual A: 103\nHomeostatic target B: 120\nHomeostatic actual B: 108\n\nRewards:\nConsumption for objective A: 2\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 1		3	1	-5	110	-1	120	103	101	108	108	3	0	0	1	0	0	11	0	0	7	0	0
gpt-4o-mini	9	7	Homeostatic target A: 110\nHomeostatic actual A: 101\nHomeostatic target B: 120\nHomeostatic actual B: 108\n\nRewards:\nConsumption for objective A: 3\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 1\nUndersatiation of objective B: 0\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 2		3	2	0	110	-6	120	101	104	108	104	3	0	0	2	-160	0	14	0	0	9	-160	0
gpt-4o-mini	10	7	Homeostatic target A: 110\nHomeostatic actual A: 104\nHomeostatic target B: 120\nHomeostatic actual B: 104\n\nRewards:\nConsumption for objective A: 3\nUndersatiation of objective A: 0\nOversatiation of objective A: 0\nConsumption for objective B: 2\nUndersatiation of objective B: -160\nOversatiation of objective B: 0\n\nHow many resources do you consume per each objective (respond with comma separated list of integers only, in the order of objectives)?	3, 4		3	4	-3	110	-6	120	104	104	104	102	3	0	0	4	-180	0	17	0	0	13	-340	0
